"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1396","Guest user can view login page","chromium","Thu Nov 20 04:30:25 UTC 2025","passed","Thu Nov 20 04:30:27 UTC 2025","","auth-example.spec.ts","",""
"","1854","Guest user can view login page","firefox","Thu Nov 20 04:30:56 UTC 2025","passed","Thu Nov 20 04:30:58 UTC 2025","","auth-example.spec.ts","",""
"","1921","User can interact with authenticated page","firefox","Thu Nov 20 04:31:00 UTC 2025","passed","Thu Nov 20 04:31:02 UTC 2025","User role tests","auth-example.spec.ts","",""
"","2868","Verify login successfully","chromium","Thu Nov 20 04:30:52 UTC 2025","passed","Thu Nov 20 04:30:55 UTC 2025","","loginWithFixture.spec.ts","",""
"","1497","User can access home page","chromium","Thu Nov 20 04:30:27 UTC 2025","passed","Thu Nov 20 04:30:28 UTC 2025","User role tests","auth-example.spec.ts","",""
"","2301","Verify user logged in","firefox","Thu Nov 20 04:31:02 UTC 2025","passed","Thu Nov 20 04:31:04 UTC 2025","Home page tests with user authentication","homeWithFixture.spec.ts","",""
"","3308","Verify login successfully","firefox","Thu Nov 20 04:31:31 UTC 2025","passed","Thu Nov 20 04:31:35 UTC 2025","","loginWithFixture.spec.ts","",""
"","6438","Verify test case failed","chromium","Thu Nov 20 04:30:45 UTC 2025","failed","Thu Nov 20 04:30:52 UTC 2025","Home page tests with user authentication","homeWithFixture.spec.ts","",""
"","1319","User can interact with authenticated page","chromium","Thu Nov 20 04:30:28 UTC 2025","passed","Thu Nov 20 04:30:30 UTC 2025","User role tests","auth-example.spec.ts","",""
"","7404","Verify test case failed","firefox","Thu Nov 20 04:31:22 UTC 2025","failed","Thu Nov 20 04:31:30 UTC 2025","Home page tests with user authentication","homeWithFixture.spec.ts","",""
"","1214","Verify user logged in","chromium","Thu Nov 20 04:30:30 UTC 2025","passed","Thu Nov 20 04:30:31 UTC 2025","Home page tests with user authentication","homeWithFixture.spec.ts","",""
"","1644","User can access home page","firefox","Thu Nov 20 04:30:58 UTC 2025","passed","Thu Nov 20 04:31:00 UTC 2025","User role tests","auth-example.spec.ts","",""
