"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1732","Guest user can view login page","firefox","Tue Nov 18 07:42:45 UTC 2025","passed","Tue Nov 18 07:42:46 UTC 2025","","auth-example.spec.ts","",""
"","1072","Guest user can view login page","chromium","Tue Nov 18 07:42:14 UTC 2025","passed","Tue Nov 18 07:42:16 UTC 2025","","auth-example.spec.ts","",""
"","1310","Verify user logged in","firefox","Tue Nov 18 07:42:50 UTC 2025","passed","Tue Nov 18 07:42:51 UTC 2025","Home page tests with user authentication","homeWithFixture.spec.ts","",""
"","3095","Verify login successfully","chromium","Tue Nov 18 07:42:41 UTC 2025","passed","Tue Nov 18 07:42:44 UTC 2025","","loginWithFixture.spec.ts","",""
"","1507","User can access home page","firefox","Tue Nov 18 07:42:47 UTC 2025","passed","Tue Nov 18 07:42:48 UTC 2025","User role tests","auth-example.spec.ts","",""
"","1578","User can access home page","chromium","Tue Nov 18 07:42:16 UTC 2025","passed","Tue Nov 18 07:42:17 UTC 2025","User role tests","auth-example.spec.ts","",""
"","1385","User can interact with authenticated page","firefox","Tue Nov 18 07:42:48 UTC 2025","passed","Tue Nov 18 07:42:50 UTC 2025","User role tests","auth-example.spec.ts","",""
"","6473","Verify test case failed","chromium","Tue Nov 18 07:42:34 UTC 2025","failed","Tue Nov 18 07:42:40 UTC 2025","Home page tests with user authentication","homeWithFixture.spec.ts","",""
"","3542","Verify login successfully","firefox","Tue Nov 18 07:43:18 UTC 2025","passed","Tue Nov 18 07:43:21 UTC 2025","","loginWithFixture.spec.ts","",""
"","7184","Verify test case failed","firefox","Tue Nov 18 07:43:09 UTC 2025","failed","Tue Nov 18 07:43:16 UTC 2025","Home page tests with user authentication","homeWithFixture.spec.ts","",""
"","1286","User can interact with authenticated page","chromium","Tue Nov 18 07:42:17 UTC 2025","passed","Tue Nov 18 07:42:19 UTC 2025","User role tests","auth-example.spec.ts","",""
"","1129","Verify user logged in","chromium","Tue Nov 18 07:42:19 UTC 2025","passed","Tue Nov 18 07:42:20 UTC 2025","Home page tests with user authentication","homeWithFixture.spec.ts","",""
